0
"Verbier
Verbier - Wallis
Wetterprognose heute
5°
wechselhaft, Schneefall
Detaillierte Prognose
Schneehöhe
49 cm
13 cm im Ort
Tageskarten (dynamisch)
Erwachsene: ab CHF 82.-
Kinder: ab CHF 41.-"
"Thyon - 4 Vallées
Les Collons Thyon - Wallis
Wetterprognose heute
3°
wechselhaft, Schneefall
Detaillierte Prognose
Schneehöhe
60 cm
20 cm im Ort
Tageskarten
Erwachsene: CHF 69.-
Kinder: CHF 35.-"
"Samnaun/Ischgl
Samnaun - Graubünden
Wetterprognose heute
2°
leicht bewölkt
Detaillierte Prognose
200.0/239.0 km
Pisten, gut
Tageskarten
Erwachsene: CHF 67.-
Kinder: CHF 41.-"
"Engadin St.Moritz
St. Moritz - Graubünden
Wetterprognose heute
0°
wolkig
Detaillierte Prognose
192.3/330.3 km
Pisten, gut
Tageskarten (dynamisch)
Erwachsene: ab CHF 45.-
Kinder: ab CHF 15.-"
Anzeige
"Arosa Lenzerheide
Lenzerheide - Graubünden
Wetterprognose heute
4°
wolkig
Detaillierte Prognose
110.4/221.0 km
Pisten, gut
Tageskarten (dynamisch)
Erwachsene: ab CHF 30.-
Kinder: ab CHF 14.-"
"Arosa Lenzerheide
Arosa - Graubünden
Wetterprognose heute
3°
wolkig
Detaillierte Prognose
110.4/221.0 km
Pisten, gut
Tageskarten (dynamisch)
Erwachsene: ab CHF 30.-
Kinder: ab CHF 14.-"
"Celerina/Engadin
Celerina - Graubünden
Wetterprognose heute
1°
wolkig
Detaillierte Prognose
104.4/163.8 km
Pisten, gut
Tageskarten (dynamisch)
Erwachsene: ab CHF 45.-
Kinder: ab CHF 15.-"
"Langlauf
Alles über Langlauf in der Schweiz
snow25
Unter 25? Pistenspass zum kleinen Preis."
"St. Moritz/Engadin
St. Moritz - Graubünden
Wetterprognose heute
0°
wolkig
Detaillierte Prognose
104.4/163.8 km
Pisten, gut
Tageskarten (dynamisch)
Erwachsene: ab CHF 45.-
Kinder: ab CHF 15.-"
"Klosters
Klosters - Graubünden
Wetterprognose heute
5°
leicht bewölkt
Detaillierte Prognose
Schneehöhe
77 cm
9 cm im Ort
Tageskarten
Erwachsene: CHF 77.-
Kinder: CHF 31.-"
"Davos
Davos - Graubünden
Wetterprognose heute
4°
wolkig
Detaillierte Prognose
Schneehöhe
77 cm
13 cm im Ort
Tageskarten
Erwachsene: CHF 77.-
Kinder: CHF 31.-"
"Veysonnaz - 4 Vallées
Veysonnaz - Wallis
Schneehöhe
40 cm
5 cm im Ort
Tageskarten
Erwachsene: CHF 66.-
Kinder: CHF 33.-"
"Destination Gstaad
Gstaad - Bern Region
90.7/203.1 km
Pisten, keine Meldung
Tageskarten (dynamisch)
Erwachsene: ab CHF 49.-
Kinder: ab CHF 28.-"
"Grindelwald – Jungfrau Ski Region
Grindelwald - Bern Region
88.8/205.5 km
Pisten, fahrbar
Tageskarten
Erwachsene: CHF 75.-
Kinder: CHF 38.-"
"Grimentz-Zinal /Anniviers
Grimentz - Wallis
Schneehöhe
97 cm
15 cm im Ort
Tageskarten
Erwachsene: CHF 68.-
Kinder: CHF 41.-"
"Flims Laax Falera
Laax - Graubünden
Schneehöhe
60 cm
0 cm im Ort
Tageskarten (dynamisch)
Erwachsene: ab CHF 55.-
Kinder: ab CHF 19.-"
"Wengen – Jungfrau Ski Region
Wengen - Bern Region
82.3/205.5 km
Pisten, gut
Tageskarten
Erwachsene: CHF 75.-
Kinder: CHF 38.-"
"Zinal-Grimentz /Anniviers
Zinal - Wallis
Schneehöhe
97 cm
15 cm im Ort
Tageskarten
Erwachsene: CHF 68.-
Kinder: CHF 41.-"
"Lenk im Simmental
Lenk i.S. - Bern Region
80.1/124.8 km
Pisten, gut
Tageskarten
Erwachsene: CHF 70.-
Kinder: CHF 29.-"
"Mürren – Jungfrau Ski Region
Mürren - Bern Region
79.9/205.5 km
Pisten, gut
Tageskarten
Erwachsene: CHF 75.-
Kinder: CHF 38.-"
"Saas-Fee
Saas-Fee - Wallis
75.3/100.0 km
Pisten, gut
Tageskarten
Erwachsene: CHF 75.-
Kinder: CHF 37.-"
"Sedrun-Oberalp-Andermatt
Sedrun - Graubünden
Schneehöhe
90 cm
9 cm im Ort
Tageskarten
Erwachsene: CHF 89.-
Kinder: CHF 45.-"
"Andermatt-Oberalp-Sedrun
Andermatt - Luzern - Vierwaldstättersee
72.7/103.4 km
Pisten, gut
Tageskarten
Erwachsene: CHF 89.-
Kinder: CHF 45.-"
"Nendaz - 4 Vallées
Nendaz - Wallis
Schneehöhe
40 cm
5 cm im Ort
Tageskarten
Erwachsene: CHF 66.-
Kinder: CHF 33.-"
"Sils/Engadin
Sils i.E. - Graubünden
60.5/120.0 km
Pisten, gut
Tageskarten (dynamisch)
Erwachsene: ab CHF 45.-
Kinder: ab CHF 15.-"
"Silvaplana Corvatsch
Silvaplana - Graubünden
60.5/120.0 km
Pisten, gut
Tageskarten (dynamisch)
Erwachsene: ab CHF 45.-
Kinder: ab CHF 15.-"
"Crans - Montana
Crans-Montana - Wallis
Schneehöhe
35 cm
0 cm im Ort
Tageskarten
Erwachsene: CHF 89.-
Kinder: CHF 50.-"
"Davos Klosters Parsenn
Davos - Graubünden
Schneehöhe
77 cm
13 cm im Ort
Tageskarten
Erwachsene: CHF 77.-
Kinder: CHF 31.-"
"Engelberg - Titlis
Engelberg - Luzern - Vierwaldstättersee
49.0/73.0 km
Pisten, fahrbar-gut
Tageskarten (dynamisch)
-"
"Adelboden
Adelboden - Bern Region
Schneehöhe
25 cm
0 cm im Ort
Tageskarten
Erwachsene: CHF 70.-
Kinder: CHF 29.-"
"La Tzoumaz - Savoleyres
Verbier - Wallis
Schneehöhe
70 cm
0 cm im Ort
Tageskarten (dynamisch)
Erwachsene: ab CHF 71.-
Kinder: ab CHF 35.-"
"Verbier
Verbier - Wallis
Wetterprognose heute
5°
wechselhaft, Schneefall
Detaillierte Prognose
Schneehöhe
49 cm
13 cm im Ort
Tageskarten (dynamisch)
Erwachsene: ab CHF 82.-
Kinder: ab CHF 41.-"
"Thyon - 4 Vallées
Les Collons Thyon - Wallis
Wetterprognose heute
3°
wechselhaft, Schneefall
Detaillierte Prognose
Schneehöhe
60 cm
20 cm im Ort
Tageskarten
Erwachsene: CHF 69.-
Kinder: CHF 35.-"
"Samnaun/Ischgl
Samnaun - Graubünden
Wetterprognose heute
2°
leicht bewölkt
Detaillierte Prognose
200.0/239.0 km
Pisten, gut
Tageskarten
Erwachsene: CHF 67.-
Kinder: CHF 41.-"
"Engadin St.Moritz
St. Moritz - Graubünden
Wetterprognose heute
0°
wolkig
Detaillierte Prognose
192.3/330.3 km
Pisten, gut
Tageskarten (dynamisch)
Erwachsene: ab CHF 45.-
Kinder: ab CHF 15.-"
Anzeige
"Arosa Lenzerheide
Lenzerheide - Graubünden
Wetterprognose heute
4°
wolkig
Detaillierte Prognose
110.4/221.0 km
Pisten, gut
Tageskarten (dynamisch)
Erwachsene: ab CHF 30.-
Kinder: ab CHF 14.-"
"Arosa Lenzerheide
Arosa - Graubünden
Wetterprognose heute
3°
wolkig
Detaillierte Prognose
110.4/221.0 km
Pisten, gut
Tageskarten (dynamisch)
Erwachsene: ab CHF 30.-
Kinder: ab CHF 14.-"
"Celerina/Engadin
Celerina - Graubünden
Wetterprognose heute
1°
wolkig
Detaillierte Prognose
104.4/163.8 km
Pisten, gut
Tageskarten (dynamisch)
Erwachsene: ab CHF 45.-
Kinder: ab CHF 15.-"
"snow25
Unter 25? Pistenspass zum kleinen Preis.
Langlauf
Alles über Langlauf in der Schweiz"
"St. Moritz/Engadin
St. Moritz - Graubünden
Wetterprognose heute
0°
wolkig
Detaillierte Prognose
104.4/163.8 km
Pisten, gut
Tageskarten (dynamisch)
Erwachsene: ab CHF 45.-
Kinder: ab CHF 15.-"
"Klosters
Klosters - Graubünden
Schneehöhe
77 cm
9 cm im Ort
Tageskarten
Erwachsene: CHF 77.-
Kinder: CHF 31.-"
"Davos
Davos - Graubünden
Schneehöhe
77 cm
13 cm im Ort
Tageskarten
Erwachsene: CHF 77.-
Kinder: CHF 31.-"
"Veysonnaz - 4 Vallées
Veysonnaz - Wallis
Schneehöhe
40 cm
5 cm im Ort
Tageskarten
Erwachsene: CHF 66.-
Kinder: CHF 33.-"
"Destination Gstaad
Gstaad - Bern Region
90.7/203.1 km
Pisten, keine Meldung
Tageskarten (dynamisch)
Erwachsene: ab CHF 49.-
Kinder: ab CHF 28.-"
"Grindelwald – Jungfrau Ski Region
Grindelwald - Bern Region
88.8/205.5 km
Pisten, fahrbar
Tageskarten
Erwachsene: CHF 75.-
Kinder: CHF 38.-"
"Grimentz-Zinal /Anniviers
Grimentz - Wallis
Schneehöhe
97 cm
15 cm im Ort
Tageskarten
Erwachsene: CHF 68.-
Kinder: CHF 41.-"
